lon_lo,lat_la,top_tprt,avrg_wind_ve,avrg_hd,top_hd,msrm_dt,de_rnfl_qy,sqre_no,frfire_occrrnc_envrn_ix,pmntn_co,su_center_dstnc_lt,ic_center_dstnc_lt,dj_center_dstnc_lt,dg_center_dstnc_lt,bs_center_dstnc_lt,us_center_dstnc_lt,gj_center_dstnc_lt,bcity_center_avrg_dstnc_lt,km_cnvr_dstnc_lt,sqre_center_antcty_hg,sqre_clinc_val_co,tpgrph_ise_lc_at,frfire_occrrnc_se,frfire_occrrnc_day,frfire_frpout_reqre_time_pd,damge_area,dmge_am,frfr_ocrn_yn
111541.24336,72087.10099,18.0184173055859803,2.2309145673603505,68.5842332968236583,92.6084282584884995,all,3.5803504928806134,6271,84.0667634173055860,0,388846.460000000000,369385.180000000000,267935.610000000000,297841.530000000000,297557.440000000000,332670.310000000000,132933.770000000000,132933.770000000000,133.1700000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,77080.21727,17.9854381161007667,2.2807064622124863,68.8800492880613363,92.8053395399780942,all,3.5980668127053669,6205,84.0337185104052574,0,383975.210000000000,364459.040000000000,263478.700000000000,294685.830000000000,295666.240000000000,330376.650000000000,128838.440000000000,128838.440000000000,129.0700000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,82073.33355,17.9302519167579409,2.3619167579408543,69.2823548740416210,93.0643263964950712,all,3.6244468784227820,6139,83.9867962760131435,0,379107.120000000000,359534.740000000000,259041.360000000000,291581.480000000000,293847.730000000000,328142.940000000000,124808.510000000000,124808.510000000000,125.0300000000000000,0.00000000000000000000,2,0,all,all,,,,0
111541.24336,87066.44983,17.8633023001095290,2.4601971522453450,69.7474698795180723,93.3608543263964951,all,3.6557721796276013,6073,83.9310350492880613,0,374242.330000000000,354612.360000000000,254624.590000000000,288530.140000000000,292103.250000000000,325970.410000000000,120850.520000000000,120850.520000000000,121.0700000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,92059.56611,17.7950164293537788,2.5605640744797371,70.2249397590361446,93.6657886089813801,all,3.6876560788608981,6007,83.8705366922234392,0,369380.960000000000,349691.990000000000,250229.510000000000,285533.520000000000,290434.140000000000,323860.300000000000,116971.760000000000,116971.760000000000,117.1800000000000000,0.00000000000000000000,4,0,all,all,,,,0
111541.24336,97052.68239,17.7357612267250821,2.6478094194961665,70.6578860898138007,93.9442661555312158,all,3.7161555312157722,5941,83.8110898138006572,0,364523.160000000000,344773.710000000000,245857.260000000000,282593.350000000000,288841.710000000000,321813.830000000000,113180.390000000000,113180.390000000000,113.3900000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,102045.79867,17.6941347207009858,2.7098576122672508,70.9845235487404162,94.1571084337349398,all,3.7369167579408543,5875,83.7637842278203724,0,359669.060000000000,339857.610000000000,241509.080000000000,279711.410000000000,287327.240000000000,319832.220000000000,109485.480000000000,109485.480000000000,109.6800000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,107038.91495,17.6751204819277108,2.7384337349397590,71.1501478641840088,94.2668127053669222,all,3.7470153340635268,5809,83.7391511500547645,0,354818.820000000000,334943.800000000000,237186.310000000000,276889.520000000000,285891.960000000000,317916.690000000000,105897.140000000000,105897.140000000000,106.0900000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,112032.03123,17.6801369112814896,2.7340142387732749,71.1695071193866375,94.2886801752464403,all,3.7429189485213582,5743,83.7376998904709748,0,349972.590000000000,330032.360000000000,232890.360000000000,274129.530000000000,284537.070000000000,316068.430000000000,102426.550000000000,102426.550000000000,102.6100000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,117025.14751,17.7058926615553122,2.7072070098576123,71.1497535596933187,94.3030503833515882,all,3.7215443592552026,5677,83.7457721796276013,0,345130.560000000000,325123.410000000000,228622.730000000000,271433.340000000000,283263.730000000000,314288.640000000000,99086.100000000000,99086.100000000000,99.2700000000000000,33.8100000000000000,7,1,all,all,,,,0
111541.24336,122018.26378,17.7492552026286966,2.6604381161007667,71.0893099671412924,94.3021631982475356,all,3.6867688937568456,5611,83.7614184008762322,0,340292.890000000000,320217.070000000000,224385.050000000000,268802.860000000000,282073.030000000000,312578.480000000000,95889.390000000000,95889.390000000000,96.0600000000000000,40.4100000000000000,3,1,all,all,,,,0
111541.24336,127011.38006,17.8058981380065717,2.5980832420591457,70.9954819277108434,94.2875739320920044,all,3.6437185104052574,5545,83.7817469879518072,0,335459.780000000000,315313.440000000000,220179.040000000000,266240.050000000000,280966.040000000000,310939.100000000000,92851.260000000000,92851.260000000000,93.0200000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,132004.49634,17.8681380065717415,2.5275191675794085,70.8760021905805038,94.2606352683461117,all,3.5982584884994524,5479,83.8048795180722892,0,330631.420000000000,310412.680000000000,216006.550000000000,263746.870000000000,279943.740000000000,309371.640000000000,89987.790000000000,89987.790000000000,90.1500000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,136997.61262,17.9263691128148959,2.4597042716319825,70.7318291347207010,94.2096823658269441,all,3.5568510405257393,5413,83.8285925520262870,0,325808.030000000000,305514.900000000000,211869.570000000000,261325.310000000000,279007.070000000000,307877.170000000000,87316.140000000000,87316.140000000000,87.4700000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,141990.72890,17.9706352683461117,2.4057228915662651,70.5631653888280394,94.1253888280394304,all,3.5251916757940854,5347,83.8519003285870756,0,320989.830000000000,300620.260000000000,207770.220000000000,258977.390000000000,278156.880000000000,306456.790000000000,84854.450000000000,84854.450000000000,85.0100000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,146983.84518,17.9919058050383352,2.3765005476451260,70.3783734939759036,94.0053012048192771,all,3.5082256297918949,5281,83.8741566265060241,0,316177.060000000000,295728.910000000000,203710.750000000000,256705.120000000000,277393.980000000000,305111.510000000000,82621.490000000000,82621.490000000000,82.7700000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,151976.96146,17.9822782037239869,2.3828313253012048,70.2012979189485214,93.8602135815991238,all,3.5096604600219058,5215,83.8927382256297919,0,311369.970000000000,290841.020000000000,199693.620000000000,254510.540000000000,276719.080000000000,303842.330000000000,80636.250000000000,80636.250000000000,80.7800000000000000,5.8500000000000000,3,1,all,all,,,,0
111541.24336,156970.07774,17.9804600219058050,2.3724808324205915,69.9856626506024096,93.6886199342825849,all,3.5183242059145674,5149,83.9161774370208105,0,306568.820000000000,285956.760000000000,195721.430000000000,252395.670000000000,276132.840000000000,302650.230000000000,78917.430000000000,78917.430000000000,79.0600000000000000,72.5900000000000000,3,1,all,all,,,,0
111541.24336,161963.19402,17.9862376779846659,2.3463800657174151,69.6780449069003286,93.4502738225629792,all,3.5295564074479737,5083,83.9498959474260679,0,301773.910000000000,281076.340000000000,191796.960000000000,250362.530000000000,275635.810000000000,301536.100000000000,77482.770000000000,77482.770000000000,77.6200000000000000,0.00000000000000000000,7,0,all,all,,,,0
