rcrfr_id,rcrfr_nm,ctprv_nm,rcrfr_sctn_nm,max_accpn_cnt,mnagn_nm,provd_instt_cd,provd_instt_nm,besl_tm_xcrd,besl_tm_ycrd,wgs84_lltd_xcrd,wgs84_lltd_ycrd,examin_realm_se_code_nm,spcs_lcnm,spcs_scncenm,exam_yr
1,축령산,전라남도,국유림,900,치유의숲안내센터,4980000,전라남도 장성군,284551.6667,307309.3333,126.7275483,35.35828767,포유류,고양이,Felis catus,2007
2,방장산자연휴양림,전라남도,국유림,500,국립자연휴양림관리소,4980000,전라남도 장성군,287138.9546,316485.1364,126.7547381,35.44127736,포유류,고양이,Felis catus,2007
3,구재봉 자연휴양림,경상남도,공유림,300,경상남도 하동군청,5440000,경상남도 하동군,378040.4286,281725.2857,127.7568886,35.13412186,포유류,고라니,Hydropotes inermis S,2018
5,태학산 자연휴양림,충청남도,공유림,1000,충청남도 천안시청,4490000,충청남도 천안시,319092.25,458895.75,127.092003,36.72778875,포유류,너구리,Nyctereutes procyono,2013
6,구름산산림욕장,경기도,국유림,300,광명시,3900000,경기도 광명시,300865.8578,539748.2012,126.8772881,37.45452375,포유류,고양이,Felis catus,2005
7,오도산 자연휴양림,경상남도,공유림,1000,합천군청,5480000,경상남도 합천군,405544.5,340355.25,128.0590836,35.6628465,포유류,고라니,Hydropotes inermis S,2018
8,칼봉산자연휴양림,경기도,공유림,160,가평군 시설관리공단,4160000,경기도 가평군,353143,581534,127.465447,37.835156,포유류,멧토끼,Lepus coreanus Thoma,2015
9,천천와룡자연휴양림,전라북도,국유림,1200,전라북도 장수군청,4750000,전라북도 장수군,353030.9722,343919.0555,127.478862,35.6938565,포유류,족제비,Mustela sibirica Pal,2007
10,방화동자연휴양림,전라북도,국유림,460,전라북도 장수군청,4750000,전라북도 장수군,357465,333215,127.528423,35.597578,포유류,고라니,Hydropotes inermis S,2017
10,방화동자연휴양림,전라북도,국유림,460,전라북도 장수군청,4750000,전라북도 장수군,357465,333215,127.528423,35.597578,포유류,염소,Capra hircus,2017
11,남해편백자연휴양림,경상남도,국유림,1000,함양국유림관리소,5430000,경상남도 남해군,401736,239344,128.0168287,34.75230733,포유류,고라니,Hydropotes inermis S,2018
12,수레의산자연휴양림,충청북도,공유림,180,충청북도 음성군,4470000,충청북도 음성군,368682.6,493062.6,127.6457604,37.0386294,포유류,등줄쥐,Apodemus agrarius (P,2015
