id,type,temp_air,temp_process,speed,torque,tool_wear,is_failure
14860,M,298.1,308.6,1551,42.8,0,0
47181,L,298.2,308.7,1408,46.3,3,0
47182,L,298.1,308.5,1498,49.4,5,0
47183,L,298.2,308.6,1433,39.5,7,0
47184,L,298.2,308.7,1408,40.0,9,0
14865,M,298.1,308.6,1425,41.9,11,0
47186,L,298.1,308.6,1558,42.4,14,0
47187,L,298.1,308.6,1527,40.2,16,0
14868,M,298.3,308.7,1667,28.6,18,0
14869,M,298.5,309.0,1741,28.0,21,0
29424,H,298.4,308.9,1782,23.9,24,0
29425,H,298.6,309.1,1423,44.3,29,0
14872,M,298.6,309.1,1339,51.1,34,0
14873,M,298.6,309.2,1742,30.0,37,0
47194,L,298.6,309.2,2035,19.6,40,0
47195,L,298.6,309.2,1542,48.4,42,0
14876,M,298.6,309.2,1311,46.6,44,0
14877,M,298.7,309.2,1410,45.6,47,0
29432,H,298.8,309.2,1306,54.5,50,0
14879,M,298.9,309.3,1632,32.5,55,0
29434,H,298.9,309.3,1375,42.7,58,0
47201,L,298.8,309.3,1450,44.8,63,0
14882,M,298.9,309.3,1581,30.7,65,0
47203,L,299.0,309.4,1758,25.7,68,0
14884,M,299.0,309.4,1561,37.3,70,0
47205,L,299.0,309.5,1861,23.3,73,0
47206,L,299.1,309.5,1512,39.0,75,0
29441,H,299.1,309.4,1811,24.6,77,0
47208,L,299.1,309.4,1439,44.2,82,0
47209,L,299.0,309.4,1693,30.1,84,0
14890,M,299.1,309.5,1339,48.2,86,0
47211,L,299.0,309.4,1798,25.5,89,0
47212,L,299.0,309.4,1419,48.3,91,0
47213,L,298.9,309.3,1665,32.5,93,0
14894,M,298.8,309.1,1559,34.7,95,0
14895,M,298.8,309.2,1452,48.6,98,0
14896,M,298.9,309.2,1581,36.7,101,0
47217,L,298.8,309.1,1439,39.2,104,0
29452,H,298.9,309.2,1379,50.7,106,0
47219,L,298.8,309.1,1350,52.5,111,0
47220,L,298.8,309.1,1362,45.4,113,0
47221,L,298.8,309.1,1368,50.8,115,0
14902,M,298.8,309.1,1368,49.1,117,0
29457,H,298.8,309.2,1372,48.5,120,0
14904,M,298.8,309.1,1472,47.5,125,0
47225,L,298.8,309.1,1489,49.1,128,0
14906,M,298.7,309.0,1843,25.8,130,0
47227,L,298.8,309.1,1418,46.3,133,0
29462,H,298.8,309.2,1425,53.9,135,0
14909,M,298.9,309.2,1412,44.1,140,0
47230,L,298.9,309.1,2861,4.6,143,1
47231,L,298.9,309.1,1383,54.9,145,0
29466,H,298.8,309.0,1497,43.8,147,0
47233,L,298.7,309.0,1565,35.1,152,0
47234,L,298.7,309.0,1691,30.1,154,0
47235,L,298.8,309.1,1512,40.7,156,0
47236,L,298.8,309.1,1477,42.4,158,0
47237,L,298.8,309.1,1513,40.3,160,0
14918,M,298.8,309.0,1661,29.5,162,0
47239,L,298.8,309.1,1378,54.4,165,0
47240,L,298.8,309.1,1393,52.6,167,0
14921,M,298.8,309.0,1592,38.2,169,0
47242,L,298.8,309.0,1829,22.9,172,0
14923,M,298.9,309.0,1812,25.9,174,0
47244,L,299.0,309.1,1523,38.6,177,0
47245,L,299.0,309.1,1394,45.1,179,0
14926,M,298.9,308.9,1679,28.7,181,0
29481,H,298.8,308.9,1466,44.1,184,0
47248,L,298.8,308.9,1527,32.4,189,0
47249,L,298.9,309.0,1410,65.7,191,1
14930,M,298.9,309.0,1924,22.6,193,0
47251,L,298.9,309.1,1452,45.5,196,0
47252,L,298.9,309.1,1369,44.4,198,0
47253,L,299.0,309.1,1592,35.0,200,0
47254,L,298.9,309.0,1601,32.3,202,0
47255,L,298.8,308.9,1379,46.7,204,0
47256,L,298.8,308.9,1461,47.9,206,0
47257,L,298.8,308.9,1455,41.3,208,1
47258,L,298.8,308.9,1398,51.5,0,0
47259,L,298.8,308.9,1402,37.9,2,0
29494,H,298.8,308.8,1445,49.9,4,0
47261,L,298.9,308.9,1450,47.5,9,0
47262,L,298.9,308.9,1453,40.8,11,0
47263,L,299.0,309.0,1469,40.1,13,0
47264,L,298.9,308.9,1422,47.6,15,0
14945,M,299.0,309.0,1804,26.8,17,0
29500,H,299.0,309.0,1436,43.9,20,0
47267,L,299.0,309.0,1544,31.8,25,0
14948,M,299.0,309.0,1419,45.2,27,0
14949,M,298.9,308.9,1487,39.5,30,0
47270,L,298.9,308.9,1753,25.8,33,0
47271,L,298.9,308.9,1830,24.9,35,0
14952,M,298.9,308.9,1727,27.1,37,0
47273,L,299.1,309.0,1450,43.0,40,0
47274,L,299.0,308.9,1622,31.9,42,0
14955,M,299.0,309.0,1351,52.2,44,0
14956,M,299.0,309.0,1575,35.3,47,0
14957,M,298.9,308.9,1750,29.9,50,0
47278,L,298.9,308.8,1529,32.7,53,0
47279,L,298.8,308.8,1523,44.4,55,0
47280,L,298.8,308.9,1852,25.0,57,0
47281,L,298.8,308.8,1991,20.7,59,0
47282,L,298.8,308.8,1555,40.6,61,0
14963,M,298.8,308.8,1441,40.5,63,0
47284,L,298.8,308.7,1450,43.4,66,0
47285,L,298.8,308.7,1591,31.1,68,0
47286,L,298.8,308.7,1445,48.5,70,0
14967,M,298.8,308.8,1497,46.8,72,0
29522,H,298.9,308.8,1621,32.7,75,0
47289,L,298.9,308.7,1572,34.1,80,0
47290,L,298.8,308.6,1872,22.5,82,0
29525,H,298.7,308.6,1499,43.5,84,0
14972,M,298.8,308.7,1498,39.5,89,0
14973,M,298.8,308.6,1486,41.9,92,0
47294,L,298.8,308.6,1680,29.4,95,0
47295,L,298.8,308.6,1431,45.7,97,0
47296,L,298.9,308.7,1564,34.1,99,0
47297,L,298.8,308.6,1599,33.0,101,0
14978,M,298.8,308.6,1707,28.1,103,0
47299,L,298.7,308.5,1467,40.7,106,0
47300,L,298.9,308.7,1433,44.7,108,0
47301,L,298.9,308.7,1558,41.2,110,0
47302,L,299.0,308.8,1310,50.7,112,0
47303,L,298.9,308.7,1546,43.4,114,0
47304,L,298.9,308.7,1727,29.4,116,0
47305,L,298.9,308.6,1560,32.2,118,0
47306,L,299.0,308.6,1329,60.5,120,0
47307,L,298.9,308.6,1413,46.5,122,0
47308,L,299.0,308.6,1587,38.6,124,0
47309,L,298.9,308.5,1559,34.3,126,0
47310,L,298.8,308.4,1473,41.1,128,0
47311,L,298.8,308.4,1737,27.7,130,0
14992,M,298.7,308.4,1441,43.2,132,0
14993,M,298.7,308.4,1430,49.6,135,0
47314,L,298.8,308.4,1369,53.0,138,0
14995,M,298.8,308.5,1711,28.5,140,0
29550,H,298.7,308.5,1420,45.7,143,0
47317,L,298.7,308.6,1297,55.3,148,0
29552,H,298.8,308.6,1449,49.4,150,0
47319,L,298.8,308.6,1268,55.8,155,0
47320,L,298.8,308.6,1511,36.1,157,0
47321,L,298.7,308.5,1544,35.2,159,0
15002,M,298.6,308.4,1778,28.2,161,0
29557,H,298.6,308.4,1407,50.5,164,0
15004,M,298.6,308.4,1391,42.4,169,0
47325,L,298.5,308.4,1513,33.6,172,0
29560,H,298.5,308.4,1612,36.1,174,0
47327,L,298.4,308.4,1515,40.1,179,0
15008,M,298.3,308.3,1379,48.0,181,0
47329,L,298.4,308.3,1473,39.9,184,0
47330,L,298.4,308.3,1422,42.7,186,0
15011,M,298.4,308.2,1463,37.6,188,0
15012,M,298.4,308.2,1584,41.0,191,0
47333,L,298.4,308.2,1850,27.0,194,0
47334,L,298.4,308.2,1528,36.2,196,0
29569,H,298.4,308.2,1987,19.8,198,0
15016,M,298.4,308.1,1495,46.0,203,0
29571,H,298.4,308.2,1478,43.5,206,0
15018,M,298.4,308.2,1499,40.0,211,0
47339,L,298.4,308.2,1471,47.0,214,0
47340,L,298.4,308.2,1282,60.7,216,1
47341,L,298.3,308.1,1412,52.3,218,1
47342,L,298.3,308.1,1586,35.5,0,0
15023,M,298.4,308.2,1468,43.8,2,0
15024,M,298.5,308.3,1440,43.6,5,0
47345,L,298.5,308.4,1733,26.0,8,0
29580,H,298.4,308.2,1612,32.6,10,0
29581,H,298.4,308.3,1458,42.9,15,0
47348,L,298.4,308.3,1433,62.3,20,1
47349,L,298.4,308.3,1318,59.1,22,0
15030,M,298.4,308.2,1610,35.0,24,0
47351,L,298.2,308.1,1462,50.8,27,0
15032,M,298.1,308.0,1924,20.8,29,0
15033,M,298.2,308.0,1591,33.7,32,0
47354,L,298.2,308.1,1306,58.3,35,0
47355,L,298.2,308.1,1382,43.5,37,0
47356,L,298.2,308.1,1618,34.7,39,0
47357,L,298.2,308.2,1988,21.4,41,0
47358,L,298.2,308.2,1436,50.2,43,0
47359,L,298.2,308.3,1304,49.8,45,0
47360,L,298.2,308.3,1475,49.9,47,0
29595,H,298.2,308.3,1824,24.2,49,0
15042,M,298.1,308.2,1342,48.1,54,0
47363,L,298.1,308.2,1485,40.7,57,0
47364,L,298.2,308.2,1667,30.6,59,0
47365,L,298.2,308.2,1446,38.2,61,0
47366,L,298.1,308.3,1301,56.0,63,0
47367,L,298.2,308.4,1379,43.1,65,0
47368,L,298.3,308.5,1606,33.6,67,0
15049,M,298.3,308.4,1539,43.4,69,0
47370,L,298.2,308.4,1477,49.9,72,0
47371,L,298.2,308.4,1666,34.6,74,0
29606,H,298.2,308.4,1398,51.8,76,0
29607,H,298.2,308.4,1678,34.6,81,0
15054,M,298.2,308.5,2678,10.7,86,1
47375,L,298.3,308.5,1453,42.9,89,0
29610,H,298.3,308.6,1432,49.5,91,0
15057,M,298.4,308.6,1527,40.9,96,0
47378,L,298.4,308.7,1588,35.0,99,0
47379,L,298.4,308.6,1433,47.1,101,0
47380,L,298.4,308.6,1609,35.0,103,0
47381,L,298.3,308.5,1575,41.2,105,0
15062,M,298.4,308.5,1636,35.7,107,0
47383,L,298.4,308.5,1490,37.9,110,0
47384,L,298.4,308.5,1741,32.8,112,0
15065,M,298.5,308.6,1344,53.0,114,0
47386,L,298.5,308.7,1609,35.3,117,0
15067,M,298.4,308.7,1421,60.7,119,1
